area_id,building_id,name,suffix,alt_name,object_nr,address,comment
A,A,Hauptgebäude,,,,Karlsplatz 13,
A,B,,,,,,
A,C,Mitteltrakt,,,,,
A,D,Resseltrakt,,,,,
A,E,,,,,,
A,F,,,,,,
A,G,,,,,,
A,H,,,,,,
A,I,,,,,,
A,K,,,,,,
A,S,,,,,,
A,P,Goldenes Lamm,,,,Wiedner Hauptstraße 7,
A,Q,Ödenburg,,,,Wiedner Hauptstraße 9,
B,A,Plus-Energie-Bürohochhaus,,,1,Getreidemarkt 9,
B,B,Winkelbau,,,3,Getreidemarkt 9,
B,C,Lehartrakt,,,6,Lehargasse 4,
B,D,Hoftrakt,,,7,Lehargasse 6,
B,E,Lückenbau,,,8,Gumpendorfer Straße 7,
B,F,,,,11,,Baustelle
B,G,,,,,,Tiefgarage?
B,H,Gupendorfer Straße 1a,Institutsgebäude,,9,Gumpendorfer Straße 1a,
B,I,Loschmidttrakt,,,2,Getreidemarkt 9,
B,K,,,Laborräume,,,Keller?
B,L,Kesselhaus,,,10,,
B,Z,Geniegebäude,,,4,Getreidemarkt 9,
C,A,,,,,,
C,B,,,,,,
C,C,,,,,,
C,D,,,,,,
C,E,,,,,,
C,F,,,,,,
C,G,,,,,,
C,H,,,,,,
D,A,Freihaus Turm A,Grüner Bereich,,,Wiedner Hauptstraße 8–10,
D,B,Freihaus Turm B,Gelber Bereich,,,Wiedner Hauptstraße 8–10,
D,C,Freihaus Turm C,Roter Bereich,,,Wiedner Hauptstraße 8–10,
D,D,Hauptbibliothek,,,,Resselgasse 4,
D,E,Treitlstraße 3,Institutsgebäude,Porrhaus,,Treitlstraße 3,
D,F,Perlmooserhaus,,,,Operngasse 11,
E,A,,,,,,
E,B,,,,,,
F,A,,,,,,
F,B,,,,,,
F,C,,,,,,
H,A,,,,,,
H,B,,,,,,
H,C,,,,,,
H,D,,,,,,
H,E,,,,,,
H,F,,,,,,
H,G,,,,,,
H,H,,,,,,
H,I,,,,,,
M,A,,,,,,
M,B,,,,,,
O,A,Siemenshalle,,,221,Franz-Grill-Straße 2–4,
O,B,Panzerhalle,,,227,Franz-Grill-Straße 8,
O,C,,,,236,Lilienthalgasse 14,
O,D,Wasserforschungslabor,,,235,Lilienthalgasse 21,
O,Y,,,,214,Franz-Grill-Straße 9,
O,Z,,,,214,Franz-Grill-Straße 9,
Q,A,Theresianumgasse 27,Institutsgebäude,Außenstandort,,Theresianumgasse 27,
W,A,,,,,Augasse 2–6,
W,B,,,,,Augasse 2–6,
W,C,,,,,Augasse 2–6,
W,D,,,,,Augasse 2–6,
Z,A,,,,,Stadionallee 2,
Z,B,,,,,Stadionallee 2,
Z,C,,,,,Stadionallee 2,
Z,D,,,,,Stadionallee 2,
